year,coef,se,ci_lo,ci_hi,series,dv
2018,0.0,0.0,0.0,0.0,Tesla BEV,log_tesla_bev
2019,0.024908287645226828,0.001787602922524206,0.021404585917079385,0.02841198937337427,Tesla BEV,log_tesla_bev
2020,0.029735377802698918,0.0023027824860026515,0.025221924130133723,0.03424883147526411,Tesla BEV,log_tesla_bev
2021,0.023027835646724993,0.0029872899291214956,0.017172747385646864,0.028882923907803122,Tesla BEV,log_tesla_bev
2022,0.02197908717847734,0.0035940136236429603,0.014934820476137136,0.02902335388081754,Tesla BEV,log_tesla_bev
2023,0.0298007056467568,0.004076216698869624,0.02181132091697234,0.03779009037654126,Tesla BEV,log_tesla_bev
2024,0.029059351438015968,0.004392012755030816,0.020451006438155568,0.03766769643787637,Tesla BEV,log_tesla_bev
2018,0.0,0.0,0.0,0.0,Non-Tesla BEV,log_nontesla_bev
2019,0.014392157920291391,0.0009188969137886457,0.012591119969265645,0.016193195871317137,Non-Tesla BEV,log_nontesla_bev
2020,0.003715394653959477,0.0011626791157446068,0.001436543587100048,0.005994245720818907,Non-Tesla BEV,log_nontesla_bev
2021,-0.008319358746494865,0.0012869216255526636,-0.010841725132578086,-0.005796992360411644,Non-Tesla BEV,log_nontesla_bev
2022,-0.009206417543935483,0.0015386460211481233,-0.012222163745385805,-0.006190671342485162,Non-Tesla BEV,log_nontesla_bev
2023,-0.001153622273264343,0.0019565217364483395,-0.004988404876703089,0.0026811603301744023,Non-Tesla BEV,log_nontesla_bev
2024,-0.003120504520221546,0.0020910700702463083,-0.00721900185790431,0.000977992817461218,Non-Tesla BEV,log_nontesla_bev
2018,0.0,0.0,0.0,0.0,Light Truck (Placebo),log_light_truck
2019,-0.0028453906570552333,0.000179579577797439,-0.0031973666295382138,-0.002493414684572253,Light Truck (Placebo),log_light_truck
2020,-0.013179381049589206,0.0003070373459691732,-0.013781174247688786,-0.012577587851489627,Light Truck (Placebo),log_light_truck
2021,-0.01668787759938558,0.00036635610735492744,-0.01740593556980124,-0.01596981962896992,Light Truck (Placebo),log_light_truck
2022,-0.017214783116598534,0.00040380110138845326,-0.018006233275319902,-0.016423332957877165,Light Truck (Placebo),log_light_truck
2023,0.005288028311539114,0.0034659770123257397,-0.0015052866326193352,0.012081343255697563,Light Truck (Placebo),log_light_truck
2024,0.004260420959469555,0.003458619782496075,-0.002518473814222752,0.011039315733161862,Light Truck (Placebo),log_light_truck
